"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction","#output configurations","product generation stopped"
"4070",31,20,7866,33,2,0,2,0,0,2,0,339,341,50,20,20,10,10,"false",2003,10,6,1535,775,23,29,15,1,29,21,0,3,3,353,4,3,346,1,NA,NA
"4071",31,20,7880,33,0,0,0,0,0,2,0,297,299,50,20,20,10,10,"false",1990,10,6,1531,780,20,29,16,0,22,16,0,1,4,353,5,1,347,1,NA,NA
"4072",31,20,8008,30,3,0,1,0,0,0,2,256,258,50,20,20,10,10,"false",1989,10,6,1513,754,24,29,15,1,32,22,1,2,6,357,4,4,349,1,NA,NA
"4073",31,30,10890,30,0,0,0,0,0,0,0,0,0,60,1000,1000,10,10,"true",1805523,69,6,4742,3820,22,28,23,1,1800043,18,1800020,0,4,585,3,2,580,1,NA,NA
"4074",31,30,10890,30,0,0,0,0,0,0,0,0,0,60,1000,1000,10,10,"true",1805628,70,6,4799,3882,22,28,21,1,1800042,17,1800019,1,4,635,4,2,629,1,NA,NA
"4075",31,30,10890,30,0,0,0,0,0,0,0,0,0,60,1000,1000,10,10,"true",1805639,67,6,4858,3942,22,28,22,1,1800042,17,1800019,1,4,590,4,1,585,2,NA,NA
"4076",31,30,10890,30,0,0,0,0,0,0,0,0,0,60,1000,1000,10,10,"true",1805646,67,6,4857,3939,22,29,22,1,1800043,18,1800020,0,4,596,4,2,590,1,NA,NA
"4077",31,30,10890,30,0,0,0,0,0,0,0,0,0,60,1000,1000,10,10,"true",1805749,69,6,4966,4048,23,28,22,1,1800043,18,1800019,0,4,587,3,2,582,2,NA,NA
"4078",31,30,10890,30,0,0,0,0,0,0,0,0,0,60,1000,1000,10,10,"true",1805782,68,6,4931,4012,23,29,22,1,1800043,18,1800019,1,4,656,4,1,650,1,NA,NA
"4079",31,30,10890,30,0,0,0,0,0,0,0,0,0,60,1000,1000,10,10,"true",1805835,70,6,5014,4095,22,29,22,1,1800043,18,1800019,1,4,625,4,2,619,1,NA,NA
"4080",31,30,10890,30,0,0,0,0,0,0,0,1,1,60,1000,1000,10,10,"true",1805558,67,6,4772,3856,22,28,23,1,1800042,17,1800019,0,4,594,3,2,589,1,NA,NA
"4081",31,30,10890,30,0,0,0,0,0,0,0,1,1,60,1000,1000,10,10,"true",1805780,66,6,4956,4035,22,28,21,1,1800043,18,1800019,1,4,633,3,2,628,2,NA,NA
"4082",31,30,10890,30,0,0,0,0,0,0,0,1,1,60,1000,1000,10,10,"true",1805941,68,5,5099,4183,22,29,22,1,1800042,17,1800019,1,4,649,4,1,644,2,NA,NA
"4083",31,30,10890,30,0,0,0,0,0,0,0,2,2,60,1000,1000,10,10,"true",1805600,70,6,4805,3882,23,28,22,1,1800042,17,1800019,1,4,527,4,1,522,75,NA,NA
"4084",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"true",1804111,62,6,3508,2756,18,29,16,0,1800051,17,1800027,1,4,418,3,2,413,1,1000000,"true"
"4085",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"true",1804318,55,5,3740,2988,19,29,14,1,1800042,17,1800019,1,4,410,4,2,404,1,1000000,"true"
"4086",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"true",1804345,53,6,3770,3017,18,29,15,1,1800042,17,1800020,0,4,408,4,2,402,1,1000000,"true"
"4087",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"true",1804490,55,6,3936,3183,20,29,14,1,1800078,18,1800055,0,4,350,4,2,344,1,1000000,"true"
"4088",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"true",1804534,52,6,3927,3179,18,30,13,1,1800043,18,1800019,1,4,441,3,2,436,1,1000000,"true"
"4089",32,19,4869,31,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"true",1804580,54,6,4002,3240,19,29,15,1,1800042,17,1800019,1,4,409,4,2,403,1,NA,NA
